stock_name,date,value,count,Individual_buy_count,NonIndividual_buy_count,Individual_sell_count,NonIndividual_sell_count,Individual_buy_volume,NonIndividual_buy_volume,Individual_sell_volume,NonIndividual_sell_volume,Individual_buy_value,NonIndividual_buy_value,Individual_sell_value,NonIndividual_sell_value,adj_max_price,adj_min_price,adj_first_price,adj_last_price,adj_volume,adj_close_price,change
وصنعت,2011-11-05,744128879,71,32,3,25,0,504824,80151,584975,0,640568568,103560311,744128879,0,108,104,108,105,584975,106,-1.08527131782946
وصنعت,2011-11-06,3216735588,270,69,5,52,0,1190629,1416305,2606934,0,1470425722,1746309866,3216735588,0,105,102,105,102,2606934,102,-3.29153605015674
وصنعت,2011-11-08,1366298190,134,43,4,51,0,558055,583840,1141895,0,668701684,697596506,1366298190,0,101,99,101,99,1141895,99,-2.99837925445705
وصنعت,2011-11-09,1337772144,108,29,2,37,0,594878,486557,1081435,0,734818536,602953608,1337772144,0,103,99,99,103,1081435,103,3.34168755221387
وصنعت,2011-11-12,706509098,85,38,1,20,1,559601,8000,517601,50000,696501098,10008000,644873026,61636072,104,101,104,101,567601,103,0.485044462409054
وصنعت,2011-11-13,690402922,102,40,0,31,0,570843,0,570843,0,690402922,0,690402922,0,102,100,101,100,570843,101,-2.09171359613837
وصنعت,2011-11-14,45294260,24,9,1,13,0,35091,2250,37341,0,42583010,2711250,45294260,0,102,100,101,100,37341,101,0
وصنعت,2011-11-16,754951489,51,24,2,16,0,455763,167750,623513,0,551989209,202962280,754951489,0,103,100,101,100,623513,101,-0.410846343467543
وصنعت,2011-11-19,925737349,79,32,1,26,0,705569,53921,759490,0,860242939,65494410,925737349,0,102,100,102,101,759490,101,0.577557755775578
وصنعت,2011-11-20,1312426132,136,69,2,35,0,948235,150000,1098235,0,1133906132,178520000,1312426132,0,101,99,100,100,1098235,99,-1.96882690730107
وصنعت,2011-11-21,768794491,98,40,0,26,0,641663,0,641663,0,768794491,0,768794491,0,101,98,100,100,641663,99,0.251046025104602
وصنعت,2011-11-22,2058142802,186,92,3,41,0,1453522,320000,1773522,0,1689812802,368330000,2058142802,0,100,95,100,95,1773522,96,-3.17195325542571
وصنعت,2011-11-23,353766519,75,34,0,32,1,308915,0,306095,2820,353766519,0,350537619,3228900,96,94,94,95,308915,96,-0.517241379310345
